And so ends yet another day of post-nuclear hell!
    Dust storms claimed several discarded items left on the wasteland!
    Massive amounts of teleporter energy detected.
Slpah enlisted.
J0hnny A1pha enlisted.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
Joe enlisted.
J0hnny A1pha woke up from a restless sleep.
J0hnny A1pha woke up from a restless sleep.
And so ends yet another day of post-nuclear hell!
    Dust storms claimed several discarded items left on the wasteland!
    Massive amounts of teleporter energy detected.
J0hnny A1pha woke up from a restless sleep.
